RelativePath,MASTER_SHA256,FIXED_SHA256,MASTER_Length,FIXED_Length
.devcontainer/devcontainer.json,e55894bfac3b0828d57af1f7f13dbc452c95277a91fb3506bba13e16dcddb7bb,347e60c9d878203e5d9a77f8ffc8c77c04ef31f3530d6c53ef391012dbb567cc,979,443
.devcontainer/docker-compose.devcontainer.yml,759a26c87f368bc948d69fe1191b74e0616c6345e126f0f068ad8096ce10a39f,541af6fd721c4a126150219358354a5a22402b157d8c411e36c10879b070cd9c,425,459
.vscode/settings.json,8b0bfa48e18aa19c74d56e4bd930b5390bf88e0e4a780b0825dbe53233f3c010,08d1285046d5ea54686db92c8a626cff43f544bd52b763451bb4f30dfde10064,930,228
AGENTS.md,835e052713593252e33a25cc06ade36b79a48733c618fe2a070592900480b7b2,ed0e00b58c07e33775675c207d7bc6ae9e78d439dd214111aa8d1b9a9140ebc5,11459,4734
FINAL_V01_DELIVERY_MANIFEST.txt,09f997dbd730ed0f451f6d33cfeba6e8daf156449bd3ea0d74f42b84d7b4ca51,28c618826299cec0a0dc3e1c22c33e120a19fc2396dc20aab52a263a2f6d29dc,8376,1528
README.md,f43254fb995bd57c79f20a9074af37b7b1a3d686cbd6e58edb3ea62aa8157e37,5577be152ecaea67257e9b81f2b16c4b0cbddbc174643586ad2facca90573a6d,1235,1661
V01_DELIVERY_INVENTORY.txt,f4572aa616290de6400b14c3a59361f822b9e6c2c94e217d2a635c3cc2d39c15,785e0d9f799f92fcee474e5dacce5fcc6914b39ba69935e904dd655a94addf8e,318,93
VERIFY-V01.ps1,35224f3bd81216a06c2ceb355dec578f1f9fb343e453665c0957a41f00e6a78d,b869286c307cc250a49b6bb6c65626ccd6561f979b5f140ecc995063bfbd2aa8,694,289
backend/app/api/job.py,d6365d1e54b9d38202083417be1ccecfbe950877b6da94daadfe955258eda552,d899c0e3afa60a341eaa8609599653333be71b6f5acb94ca94f45546cdb0e0bd,6306,6332
backend/app/core/config.py,e5c0eaccacc005753d5f549d3f3b06582554cf0a6cfc192d1aea9fba9f6bfa88,818b46ada80533820072f00fcaa25bd5b4b60d97932677cce47eeb6c739dc890,522,527
backend/app/main.py,0e54e4eca51566ede634f05ff4eba1d5d114d9449083d86c29e59a588c1105a7,aa90fbaa4cc63837e060bc2a4a71ba91a9965ed9ca5aa5fed75525178ddd47cd,2126,1910
backend/app/models/__init__.py,bd291461730986b21428539c913794592c4c0fb4593308f35f03bd375a6ffcd0,2453bb7845d8a176935270e2e9f0edc75b88ee6b20415cc32e4ad22be6c81bae,2588,1931
backend/app/models/user.py,49ba0b25ee6d494e44812e102767b3dff830763d1382384504355b5d9db84709,9796cc135a084b66a534abc66a48c1a8cdb6ff0443456403628083c20a176eea,1911,1882
backend/dockerfile.dockerfile,622ca021e7ccf4333f0a3c6651a348621fff955e7f4629735b9334c7adb1f437,5ddc403f9f4b9fe85013685a57c39f5f1600af46dc91cf73dd9b2bc7ae7e1a8d,392,242
backend/prisma/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
backend/requirements.txt,914a80e3084626ff59d444bdee6684c6f162e1fb60cb7e3d8acc2b8f4d9d40ce,3208430993a996ba91d0938e6fd2c1380e34d0ec2aac93e706b1962b16a11433,259,296
backend/src/config/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
backend/src/controllers/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
backend/src/middleware/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
backend/src/models/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
backend/src/routes/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
backend/src/services/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
backend/src/types/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
backend/src/utils/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
database/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0,1
docker-compose.yml,23e702678fe1ac6c7e05304edc0ee8abaee28ee99c8c66b591e917a244343008,d54f2f51ca2bba9ec96f4f952fdb3efe09562574acc94e512d62fa2549c02c07,1203,1152
